iter	Passed	Remaining
0	129	25760
1	132	13122
2	136	8959
3	139	6836
4	142	5561
5	145	4700
6	148	4081
7	150	3610
8	153	3253
9	165	3151
10	168	2891
11	171	2683
12	173	2499
13	175	2337
14	178	2201
15	180	2081
16	183	1974
17	186	1884
18	188	1795
19	191	1719
20	193	1648
21	195	1583
22	197	1521
23	200	1466
24	203	1427
25	206	1382
26	209	1342
27	211	1301
28	214	1265
29	216	1228
30	219	1199
31	222	1166
32	224	1137
33	226	1106
34	229	1082
35	231	1055
36	233	1030
37	236	1006
38	238	984
39	241	965
40	244	947
41	247	932
42	251	919
43	254	903
44	257	887
45	260	871
46	263	856
47	265	841
48	268	828
49	271	813
50	274	800
51	277	788
52	280	779
53	283	766
54	288	760
55	291	748
56	293	736
57	296	725
58	299	715
59	302	705
60	304	694
61	307	683
62	309	673
63	312	664
64	314	653
65	317	644
66	319	635
67	322	626
68	325	617
69	328	609
70	330	601
71	333	592
72	337	587
73	340	579
74	343	571
75	346	564
76	348	556
77	351	549
78	353	541
79	356	534
80	358	526
81	361	519
82	363	513
83	366	506
84	369	500
85	372	493
86	375	487
87	380	484
88	384	478
89	386	472
90	389	466
91	392	461
92	395	455
93	397	448
94	400	442
95	402	436
96	404	429
97	406	423
98	409	417
99	412	412
100	415	406
101	417	400
102	420	395
103	423	390
104	426	385
105	429	381
106	432	375
107	435	370
108	437	365
109	440	360
110	443	355
111	446	350
112	449	346
113	451	340
114	454	335
115	457	331
116	460	326
117	462	321
118	465	316
119	469	312
120	473	309
121	475	304
122	478	299
123	480	294
124	482	289
125	485	285
126	488	281
127	491	276
128	493	271
129	496	267
130	498	262
131	500	257
132	503	253
133	505	248
134	507	244
135	510	240
136	513	235
137	514	231
138	517	226
139	520	223
140	522	218
141	524	214
142	527	210
143	529	205
144	531	201
145	534	197
146	536	193
147	537	188
148	540	184
149	542	180
150	544	176
151	547	172
152	549	168
153	552	164
154	553	160
155	555	156
156	557	152
157	560	148
158	562	145
159	564	141
160	567	137
161	568	133
162	570	129
163	572	125
164	574	121
165	576	118
166	579	114
167	581	110
168	583	107
169	586	103
170	588	99
171	590	96
172	592	92
173	595	88
174	597	85
175	599	81
176	601	78
177	603	74
178	605	71
179	608	67
180	610	64
181	612	60
182	614	57
183	616	53
184	618	50
185	620	46
186	622	43
187	624	39
188	627	36
189	629	33
190	631	29
191	633	26
192	635	23
193	637	19
194	640	16
195	642	13
196	645	9
197	647	6
198	649	3
199	652	0
