iter	Passed	Remaining
0	8	2635
1	17	2569
2	25	2527
3	33	2486
4	42	2478
5	50	2475
6	59	2488
7	67	2477
8	77	2506
9	86	2513
10	95	2517
11	105	2527
12	114	2531
13	123	2523
14	131	2506
15	140	2494
16	148	2479
17	158	2475
18	166	2463
19	175	2461
20	184	2451
21	195	2464
22	203	2450
23	212	2446
24	221	2436
25	230	2425
26	235	2381
27	244	2377
28	253	2371
29	262	2362
30	272	2366
31	282	2363
32	291	2359
33	300	2352
34	309	2346
35	319	2339
36	328	2332
37	337	2326
38	346	2320
39	356	2318
40	365	2311
41	374	2302
42	384	2295
43	392	2284
44	401	2273
45	410	2267
46	419	2259
47	430	2257
48	438	2245
49	447	2236
50	455	2224
51	464	2213
52	473	2205
53	481	2194
54	491	2187
55	500	2179
56	509	2170
57	517	2159
58	528	2160
59	537	2150
60	547	2143
61	556	2135
62	565	2128
63	576	2126
64	587	2123
65	598	2120
66	608	2116
67	619	2112
68	631	2113
69	643	2113
70	654	2110
71	664	2104
72	677	2106
73	688	2101
74	698	2096
75	709	2090
76	720	2086
77	734	2089
78	744	2081
79	754	2076
80	765	2070
81	775	2061
82	786	2056
83	796	2047
84	805	2037
85	815	2029
86	825	2022
87	837	2018
88	847	2010
89	858	2002
90	868	1994
91	877	1983
92	887	1975
93	898	1968
94	908	1960
95	919	1954
96	929	1945
97	941	1940
98	951	1932
99	961	1922
100	972	1916
101	983	1909
102	993	1900
103	1005	1894
104	1018	1891
105	1031	1888
106	1045	1886
107	1059	1882
108	1071	1878
109	1085	1874
110	1097	1868
111	1108	1861
112	1119	1852
113	1130	1843
114	1141	1836
115	1153	1829
116	1166	1824
117	1177	1816
118	1190	1811
119	1202	1803
120	1212	1794
121	1223	1784
122	1236	1779
123	1248	1771
124	1259	1763
125	1270	1753
126	1282	1746
127	1292	1736
128	1304	1728
129	1315	1719
130	1325	1710
131	1336	1700
132	1346	1690
133	1357	1681
134	1369	1673
135	1379	1663
136	1389	1653
137	1399	1643
138	1409	1632
139	1419	1621
140	1428	1610
141	1437	1599
142	1449	1591
143	1460	1581
144	1470	1571
145	1480	1561
146	1489	1550
147	1501	1541
148	1511	1531
149	1521	1521
150	1531	1511
151	1541	1501
152	1551	1490
153	1560	1479
154	1570	1468
155	1579	1458
156	1589	1447
157	1600	1438
158	1611	1428
159	1622	1419
160	1633	1409
161	1643	1400
162	1659	1394
163	1677	1391
164	1692	1384
165	1706	1377
166	1720	1370
167	1738	1365
168	1754	1360
169	1768	1352
170	1782	1344
171	1796	1337
172	1808	1327
173	1819	1317
174	1831	1308
175	1847	1301
176	1860	1293
177	1872	1283
178	1884	1273
179	1894	1262
180	1903	1251
181	1913	1240
182	1923	1229
183	1933	1218
184	1943	1207
185	1952	1196
186	1965	1187
187	1975	1177
188	1986	1166
189	1995	1155
190	2005	1144
191	2015	1133
192	2025	1122
193	2035	1112
194	2045	1101
195	2056	1091
196	2066	1080
197	2076	1069
198	2087	1059
199	2097	1048
200	2108	1038
201	2118	1027
202	2128	1017
203	2139	1006
204	2149	996
205	2160	985
206	2172	976
207	2183	965
208	2193	955
209	2203	944
210	2213	933
211	2222	922
212	2231	911
213	2240	900
214	2249	889
215	2257	877
216	2267	867
217	2278	856
218	2287	846
219	2296	835
220	2305	824
221	2315	813
222	2324	802
223	2333	791
224	2342	780
225	2351	770
226	2360	759
227	2369	748
228	2379	737
229	2388	726
230	2398	716
231	2407	705
232	2416	694
233	2426	684
234	2436	673
235	2446	663
236	2456	652
237	2467	642
238	2476	632
239	2486	621
240	2497	611
241	2507	600
242	2518	590
243	2528	580
244	2539	570
245	2549	559
246	2559	549
247	2569	538
248	2579	528
249	2590	518
250	2600	507
251	2611	497
252	2623	487
253	2636	477
254	2646	466
255	2656	456
256	2668	446
257	2679	436
258	2690	425
259	2700	415
260	2713	405
261	2726	395
262	2738	385
263	2748	374
264	2759	364
265	2770	354
266	2781	343
267	2791	333
268	2801	322
269	2813	312
270	2823	302
271	2833	291
272	2843	281
273	2852	270
274	2861	260
275	2870	249
276	2880	239
277	2889	228
278	2900	218
279	2911	207
280	2920	197
281	2930	187
282	2940	176
283	2949	166
284	2959	155
285	2968	145
286	2978	134
287	2988	124
288	2998	114
289	3008	103
290	3018	93
291	3028	82
292	3038	72
293	3048	62
294	3060	51
295	3070	41
296	3080	31
297	3090	20
298	3100	10
299	3111	0
